n,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,# paths

0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 ,1.0

1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 ,2.0

2, 0.0, 0.33333333333333331, 0.66666666666666663, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 ,6.0

3, 0.0, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 ,14.0

4, 0.0, 0.055555555555555552, 0.3888888888888889, 0.3888888888888889, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 ,36.0

5, 0.0, 0.023255813953488372, 0.20930232558139536, 0.41860465116279072, 0.2558139534883721, 0.093023255813953487, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 ,86.0

6, 0.0, 0.0093457943925233638, 0.15887850467289719, 0.3644859813084112, 0.29906542056074764, 0.13084112149532709, 0.037383177570093455, 0.0, 0.0, 0.0, 0.0, 0.0 ,214.0

7, 0.0, 0.003875968992248062, 0.081395348837209308, 0.28294573643410853, 0.32945736434108525, 0.22093023255813954, 0.058139534883720929, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0 ,516.0

8, 0.0, 0.0015748031496062992, 0.05826771653543307, 0.23937007874015748, 0.31338582677165355, 0.24251968503937008, 0.10708661417322834, 0.031496062992125984, 0.0062992125984251968, 0.0, 0.0, 0.0 ,1270.0

9, 0.0, 0.00064977257959714096, 0.029239766081871343, 0.16309291747888238, 0.29239766081871343, 0.28979857050032487, 0.14165042235217673, 0.066926575698505519, 0.014294996751137101, 0.0019493177387914229, 0.0, 0.0 ,3078.0

10, 0.0, 0.0002652519893899204, 0.020424403183023871, 0.13607427055702917, 0.25968169761273208, 0.28885941644562335, 0.18143236074270558, 0.081697612732095484, 0.027851458885941646, 0.0029177718832891246, 0.00079575596816976125, 0.0 ,7540.0

11, 0.0, 0.00010913456291607552, 0.010149514351195023, 0.086434573829531819, 0.22012441340172434, 0.29684601113172543, 0.20986576448761324, 0.1221215759030885, 0.044090363418094511, 0.0088398995962021172, 0.0012004801920768306, 0.00021826912583215103 ,18326.0

12, 0.0, 4.4652824291136411e-05, 0.0070104934137084169, 0.071846394284438495, 0.18950658629158293, 0.28082161196695693, 0.2353203840142889, 0.1365929895065863, 0.063407010493413712, 0.011877651261442286, 0.0032150033489618218, 0.00035722259432909129 ,44790.0

13, 0.0, 1.8343911655721465e-05, 0.0034669993029313572, 0.043640165828961366, 0.15106211248486628, 0.26532633818835527, 0.24804637340866567, 0.17481747807902556, 0.085592691785596364, 0.022287852661701583, 0.004641009648897531, 0.001100634699343288 ,109028.0

14, 0.0, 7.5141077372767369e-06, 0.0023819721527167255, 0.036383309663893963, 0.12804790995093288, 0.2429311031461569, 0.26028117791152888, 0.18493721962985504, 0.10733151491926091, 0.028117791152889551, 0.0079874965247251715, 0.0015929908403026682 ,266166.0

15, 0.0, 3.0844110779708276e-06, 0.0011751606207068854, 0.021396559647883631, 0.097825181748922768, 0.21770390270533696, 0.25736942916804179, 0.21566819139387622, 0.13221328085721953, 0.042614223453244955, 0.010854042583379343, 0.0031769434103099525 ,648422.0

16, 0.0, 1.2641937351615259e-06, 0.0008052914092978921, 0.017975570720261739, 0.082305333127691158, 0.19500061945493022, 0.25960218351541936, 0.22017830188440718, 0.15320511037675502, 0.051136636587283728, 0.015569810042249355, 0.0042198786879691736 ,1582036.0

17, 0.0, 5.1871228637482881e-07, 0.00039681489907674399, 0.010302663431976848, 0.060952324635047003, 0.16858823633154221, 0.24539137101363123, 0.24100617734461843, 0.17764235929021485, 0.068777618187297676, 0.020033705924368636, 0.0069082102299399695 ,3855702.0

18, 0.0, 2.1266699941963175e-07, 0.00027157575825886973, 0.0087514596931172663, 0.051141734686434209, 0.14870973868117113, 0.24111567659899533, 0.24026139326232665, 0.19569319552795328, 0.079318198106540644, 0.026078290803832345, 0.0086585242143708881 ,9404374.0

19, 0.0, 8.7240531392545574e-08, 0.00013373973462477238, 0.0049064947260481556, 0.03698099953570589, 0.12531186308959549, 0.22059344150112339, 0.25116706020870377, 0.21728519331018667, 0.098905201123448666, 0.032082181976420279, 0.012633737553611487 ,22925124.0

20, 0.0, 3.5773410218023551e-08, 9.1472609927486224e-05, 0.0042246966531077094, 0.031035400901697423, 0.10933001661352944, 0.21275641888559887, 0.24624723511784102, 0.23122866317305926, 0.11055811778631419, 0.039324851290828057, 0.015203091194686304 ,55907446.0

21, 0.0, 1.4673351747900666e-08, 4.503251651430714e-05, 0.0023218378138290616, 0.022020621781812983, 0.090396357311081879, 0.18997616387375313, 0.24864232245115994, 0.24850396741752898, 0.13087077318512466, 0.046661493331952082, 0.020561415643891252 ,136301510.0

22, 0.0, 6.0173722258244221e-09, 3.0790893679543564e-05, 0.0020304118232988056, 0.018519877107447728, 0.078239997812564854, 0.18072137678343028, 0.24082050769556318, 0.25798577803702222, 0.14273592633215204, 0.05489887571296985, 0.024016451784499272 ,332370996.0

23, 0.0, 2.4680292783004333e-09, 1.5156167798042961e-05, 0.0010952521610070531, 0.012938379412357244, 0.06376685007192788, 0.15841944285428633, 0.23670883863158054, 0.27031464823824086, 0.16269323290237733, 0.063271731314320193, 0.030776465778075267 ,810363158.0

24, 0.0, 1.0121532612549239e-09, 1.0361412935466656e-05, 0.00097413779691545022, 0.010918579014109222, 0.054867087389020061, 0.14912867769290841, 0.22716801803955089, 0.27552921604832115, 0.17400374895697479, 0.072257618284529229, 0.035142554352582053 ,1975985334.0

25, 0.0, 4.1512266185969456e-10, 5.0997819009463483e-06, 0.00051616476312432984, 0.0075297053080007033, 0.044225338118715721, 0.12887327075850158, 0.21859157136790505, 0.28291977774568472, 0.19274725490114633, 0.081332296049179742, 0.043259520790718209 ,4817853092.0

26, 0.0, 1.7024798248432779e-10, 3.4861679373315802e-06, 0.00046741140946317733, 0.0063810675257107924, 0.037885507588582411, 0.12032856911997716, 0.20829952969551549, 0.28438085757283432, 0.20292085573198715, 0.090805638515321335, 0.048527076502422814 ,11747569462.0

27, 0.0, 6.9824084728226653e-11, 1.7157872340267135e-06, 0.00024341409089149456, 0.0043522254138278361, 0.030276147319473801, 0.10282914782880677, 0.19704284197993571, 0.28725950443976761, 0.21983712796151639, 0.10024918993219781, 0.057908685176524463 ,28643411622.0

28, 0.0, 2.8636223585991966e-11, 1.172853809411473e-06, 0.00022457336941262383, 0.0037056785599241179, 0.025849380641435306, 0.095393451143300487, 0.18672056927597397, 0.28562776849923122, 0.22848144330269882, 0.10995538359930418, 0.064040578726273681 ,69841611412.0

29, 0.0, 1.1744524765959863e-11, 5.7723164772216132e-07, 0.000114995410260568, 0.0025035005168248295, 0.020519815469559444, 0.080802641643199197, 0.17419583888160317, 0.28465156938461555, 0.24318636133274904, 0.11946283672696788, 0.074561863390828056 ,170292118230.0

30, 0.0, 4.8166880028596282e-12, 3.945686311302522e-07, 0.00010813186643522101, 0.0021421767798382248, 0.017474396542182694, 0.074573479510520777, 0.16433548377290222, 0.28061783096485066, 0.25007943691608109, 0.12916793948311445, 0.081500729590626889 ,415223074198.0

31, 0.0, 1.9754514675339389e-12, 1.9418885471005374e-07, 5.4468224483895571e-05, 0.0014352453803962051, 0.013799831307016499, 0.062723552771060745, 0.15157490507643903, 0.27653410385637872, 0.26238314715304534, 0.1384774933466052, 0.093017058693744201 ,1012426796036.0

32, 0.0, 8.1017860274537669e-13, 1.3273723173799429e-07, 5.2204998999371017e-05, 0.0012342989889642321, 0.011727851373092492, 0.057646951199269429, 0.14247920567370964, 0.27074799462261018, 0.26744300386417735, 0.14797655368325718, 0.10069180285787817 ,2468591484918.0

33, 0.0, 3.322749907598206e-13, 6.5326924558334528e-08, 2.5880705978512794e-05, 0.00082095542751213838, 0.009224925178668306, 0.048213754085587764, 0.13018098517648422, 0.26429960641270045, 0.27730840406840218, 0.15687592290370503, 0.11304950071370455 ,6019110843782.0

34, 0.0, 1.3627392123741606e-13, 4.4653829689312784e-08, 2.5279305292313798e-05, 0.00070954590616924675, 0.0078269192999187061, 0.044161044612712252, 0.12200778062072168, 0.25733171050162001, 0.28056008910714836, 0.16599687213559766, 0.12138071385685378 ,14676322379508.0

35, 0.0, 5.5889360279773323e-14, 2.1976423023690509e-08, 1.2340653773494407e-05, 0.00046889696057459329, 0.006138133984849959, 0.036767500230658903, 0.11060202553255874, 0.24919990763746816, 0.28806245061451474, 0.17432345334649657, 0.13442526906262595 ,35784986444438.0

36, 0.0, 2.2921582442078965e-14, 1.5021819504493544e-08, 1.2279343507804828e-05, 0.00040723485158942433, 0.0052007289172247857, 0.033583104576864087, 0.10340536982499531, 0.24152661319967741, 0.2896072703454835, 0.18292786448148082, 0.14332951943733444 ,87254010714742.0

37, 0.0, 9.4007114686585004e-15, 7.3929921195856363e-09, 5.906404848853194e-06, 0.00026758194294783594, 0.004069723242098559, 0.027858684271846235, 0.093120951153863624, 0.23230168491963804, 0.29489882710884852, 0.19056506129177722, 0.15691157227112962 ,212749854802788.0

